Rule category,Antecedent (English),Consequent (English),support,confidence,lift,leverage,conviction,antecedent_count,rule_count,Antecedent (original),Consequent (original)
All mined rules,Activity: Development driving; Body: Foot; Team: Development team,Location: Development face,0.017094017094017,0.8,20.8,0.0162721893491124,4.807692307692309,5,4,Act:开拓;Body:脚;Team:开拓队,Loc:开拓迎头
All mined rules,Activity: Development driving; Body: Foot; Job: Development worker; Team: Development team,Location: Development face,0.017094017094017,0.8,20.8,0.0162721893491124,4.807692307692309,5,4,Act:开拓;Body:脚;Job:开拓工;Team:开拓队,Loc:开拓迎头
All mined rules,Activity: Coal mining; Body: Foot; Team: Coal mining team,Job: Support worker,0.0128205128205128,0.3333333333333333,19.5,0.012163050624589,1.4743589743589742,9,3,Act:采煤;Body:脚;Team:采煤队,Job:支架工
All mined rules,Activity: Coal mining; Body: Foot,Job: Support worker,0.0128205128205128,0.3,17.549999999999997,0.0120899992694864,1.4041514041514045,10,3,Act:采煤;Body:脚,Job:支架工
All mined rules,Activity: Development driving; HazardMode: Struck by object,Location: Development face,0.017094017094017,0.6666666666666667,17.333333333333336,0.0161078238001314,2.884615384615385,6,4,Act:开拓;HazardMode:砸,Loc:开拓迎头
All mined rules,Activity: Development driving; HazardMode: Struck by object; Job: Development worker,Location: Development face,0.017094017094017,0.6666666666666667,17.333333333333336,0.0161078238001314,2.884615384615385,6,4,Act:开拓;HazardMode:砸;Job:开拓工,Loc:开拓迎头
All mined rules,Activity: Development driving; HazardMode: Struck by object; Team: Development team,Location: Development face,0.017094017094017,0.6666666666666667,17.333333333333336,0.0161078238001314,2.884615384615385,6,4,Act:开拓;HazardMode:砸;Team:开拓队,Loc:开拓迎头
All mined rules,Activity: Development driving; HazardMode: Struck by object; Job: Development worker; Team: Development team,Location: Development face,0.017094017094017,0.6666666666666667,17.333333333333336,0.0161078238001314,2.884615384615385,6,4,Act:开拓;HazardMode:砸;Job:开拓工;Team:开拓队,Loc:开拓迎头
All mined rules,Activity: Development driving; Shift: Day shift,Location: Development face,0.017094017094017,0.6666666666666667,17.333333333333336,0.0161078238001314,2.884615384615385,6,4,Act:开拓;Shift:早班,Loc:开拓迎头
All mined rules,Activity: Development driving; Job: Development worker; Shift: Day shift,Location: Development face,0.017094017094017,0.6666666666666667,17.333333333333336,0.0161078238001314,2.884615384615385,6,4,Act:开拓;Job:开拓工;Shift:早班,Loc:开拓迎头
All mined rules,Activity: Development driving; Shift: Day shift; Team: Development team,Location: Development face,0.017094017094017,0.6666666666666667,17.333333333333336,0.0161078238001314,2.884615384615385,6,4,Act:开拓;Shift:早班;Team:开拓队,Loc:开拓迎头
All mined rules,Activity: Development driving; Job: Development worker; Shift: Day shift; Team: Development team,Location: Development face,0.017094017094017,0.6666666666666667,17.333333333333336,0.0161078238001314,2.884615384615385,6,4,Act:开拓;Job:开拓工;Shift:早班;Team:开拓队,Loc:开拓迎头
All mined rules,Activity: Walking; Location: Track gate road,Job: Work team leader,0.0128205128205128,0.5,16.714285714285715,0.0120534735919351,1.94017094017094,6,3,Act:行走;Loc:轨道顺槽,Job:班长
All mined rules,Body: Hand; Shift: Day shift; Team: Ventilation team,Job: Ventilation worker,0.0128205128205128,0.7499999999999999,15.954545454545451,0.0120169479143838,3.81196581196581,4,3,Body:手;Shift:早班;Team:通风队,Job:通风工
All mined rules,Body: Hand; HazardMode: Squeezing; Team: Ventilation team,Location: Auxiliary shaft,0.0128205128205128,0.7499999999999999,15.954545454545451,0.0120169479143838,3.81196581196581,4,3,Body:手;HazardMode:挤;Team:通风队,Loc:副井
All mined rules,Job: Battery-locomotive driver,Location: Auxiliary shaft,0.0128205128205128,0.7499999999999999,15.954545454545451,0.0120169479143838,3.81196581196581,4,3,Job:电瓶车司机,Loc:副井
All mined rules,Job: Battery-locomotive driver; Team: Ventilation team,Location: Auxiliary shaft,0.0128205128205128,0.7499999999999999,15.954545454545451,0.0120169479143838,3.81196581196581,4,3,Job:电瓶车司机;Team:通风队,Loc:副井
All mined rules,Body: Foot; HazardMode: Struck by object; Job: Development worker,Location: Development face,0.0128205128205128,0.6,15.599999999999998,0.0119986850756081,2.4038461538461537,5,3,Body:脚;HazardMode:砸;Job:开拓工,Loc:开拓迎头
All mined rules,Body: Foot; HazardMode: Struck by object; Job: Development worker; Team: Development team,Location: Development face,0.0128205128205128,0.6,15.599999999999998,0.0119986850756081,2.4038461538461537,5,3,Body:脚;HazardMode:砸;Job:开拓工;Team:开拓队,Loc:开拓迎头
All mined rules,Shift: Night shift; Team: Roadway support team,Activity: Roadway repair,0.0213675213675213,1.0,14.624999999999998,0.0199064942654686,,5,5,Shift:夜班;Team:修护队,Act:巷修
All mined rules,Job: Tunneling worker; Team: Roadway support team,Activity: Roadway repair,0.017094017094017,1.0,14.624999999999998,0.0159251954123749,,4,4,Job:掘进工;Team:修护队,Act:巷修
All mined rules,Job: Repair worker; Shift: Night shift; Team: Roadway support team,Activity: Roadway repair,0.0128205128205128,1.0,14.624999999999998,0.0119438965592811,,3,3,Job:检修工;Shift:夜班;Team:修护队,Act:巷修
All mined rules,Body: Foot; Shift: Middle shift; Team: Roadway support team,Activity: Roadway repair,0.0128205128205128,1.0,14.624999999999998,0.0119438965592811,,3,3,Body:脚;Shift:中班;Team:修护队,Act:巷修
All mined rules,Body: Foot; Job: Repair worker; Shift: Middle shift; Team: Roadway support team,Activity: Roadway repair,0.0128205128205128,1.0,14.624999999999998,0.0119438965592811,,3,3,Body:脚;Job:检修工;Shift:中班;Team:修护队,Act:巷修
All mined rules,HazardMode: Struck by object; Shift: Middle shift; Team: Roadway support team,Activity: Roadway repair,0.0128205128205128,1.0,14.624999999999998,0.0119438965592811,,3,3,HazardMode:砸;Shift:中班;Team:修护队,Act:巷修
All mined rules,HazardMode: Struck by object; Job: Repair worker; Shift: Middle shift; Team: Roadway support team,Activity: Roadway repair,0.0128205128205128,1.0,14.624999999999998,0.0119438965592811,,3,3,HazardMode:砸;Job:检修工;Shift:中班;Team:修护队,Act:巷修
All mined rules,Body: Foot; HazardMode: Struck by object; Job: Repair worker; Team: Roadway support team,Activity: Roadway repair,0.0128205128205128,1.0,14.624999999999998,0.0119438965592811,,3,3,Body:脚;HazardMode:砸;Job:检修工;Team:修护队,Act:巷修
All mined rules,HazardMode: Squeezing; Team: Ventilation team,Location: Auxiliary shaft,0.017094017094017,0.6666666666666667,14.181818181818183,0.0158886697348235,2.8589743589743595,6,4,HazardMode:挤;Team:通风队,Loc:副井
All mined rules,Location: Development face,Activity: Development driving,0.0384615384615384,1.0,13.76470588235294,0.0356673241288625,,9,9,Loc:开拓迎头,Act:开拓
All mined rules,Location: Development face; Team: Development team,Activity: Development driving,0.0384615384615384,1.0,13.76470588235294,0.0356673241288625,,9,9,Loc:开拓迎头;Team:开拓队,Act:开拓
All mined rules,Job: Development worker; Location: Development face,Activity: Development driving,0.0341880341880341,1.0,13.76470588235294,0.0317042881145445,,8,8,Job:开拓工;Loc:开拓迎头,Act:开拓
All mined rules,Job: Development worker; Location: Development face; Team: Development team,Activity: Development driving,0.0341880341880341,1.0,13.76470588235294,0.0317042881145445,,8,8,Job:开拓工;Loc:开拓迎头;Team:开拓队,Act:开拓
All mined rules,HazardMode: Collision; Job: Development worker,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,HazardMode:碰;Job:开拓工,Act:开拓
All mined rules,HazardMode: Collision; Job: Development worker; Team: Development team,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,HazardMode:碰;Job:开拓工;Team:开拓队,Act:开拓
All mined rules,HazardMode: Struck by object; Location: Development face,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,HazardMode:砸;Loc:开拓迎头,Act:开拓
All mined rules,HazardMode: Struck by object; Job: Development worker; Location: Development face,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,HazardMode:砸;Job:开拓工;Loc:开拓迎头,Act:开拓
All mined rules,HazardMode: Struck by object; Location: Development face; Team: Development team,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,HazardMode:砸;Loc:开拓迎头;Team:开拓队,Act:开拓
All mined rules,HazardMode: Struck by object; Job: Development worker; Location: Development face; Team: Development team,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,HazardMode:砸;Job:开拓工;Loc:开拓迎头;Team:开拓队,Act:开拓
All mined rules,Body: Foot; Location: Development face,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,Body:脚;Loc:开拓迎头,Act:开拓
All mined rules,Body: Foot; Job: Development worker; Location: Development face,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,Body:脚;Job:开拓工;Loc:开拓迎头,Act:开拓
All mined rules,Body: Foot; Location: Development face; Team: Development team,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,Body:脚;Loc:开拓迎头;Team:开拓队,Act:开拓
All mined rules,Body: Foot; Job: Development worker; Location: Development face; Team: Development team,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,Body:脚;Job:开拓工;Loc:开拓迎头;Team:开拓队,Act:开拓
All mined rules,Location: Development face; Shift: Day shift,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,Loc:开拓迎头;Shift:早班,Act:开拓
All mined rules,Job: Development worker; Location: Development face; Shift: Day shift,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,Job:开拓工;Loc:开拓迎头;Shift:早班,Act:开拓
All mined rules,Location: Development face; Shift: Day shift; Team: Development team,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,Loc:开拓迎头;Shift:早班;Team:开拓队,Act:开拓
All mined rules,Job: Development worker; Location: Development face; Shift: Day shift; Team: Development team,Activity: Development driving,0.017094017094017,1.0,13.76470588235294,0.0158521440572722,,4,4,Job:开拓工;Loc:开拓迎头;Shift:早班;Team:开拓队,Act:开拓
All mined rules,Body: Leg; Shift: Night shift; Team: Development team,Activity: Development driving,0.0128205128205128,1.0,13.76470588235294,0.0118891080429541,,3,3,Body:腿;Shift:夜班;Team:开拓队,Act:开拓
All mined rules,Body: Leg; Job: Development worker; Shift: Night shift,Activity: Development driving,0.0128205128205128,1.0,13.76470588235294,0.0118891080429541,,3,3,Body:腿;Job:开拓工;Shift:夜班,Act:开拓
All mined rules,Body: Leg; Job: Development worker; Shift: Night shift; Team: Development team,Activity: Development driving,0.0128205128205128,1.0,13.76470588235294,0.0118891080429541,,3,3,Body:腿;Job:开拓工;Shift:夜班;Team:开拓队,Act:开拓
All mined rules,HazardMode: Scraping; Job: Development worker,Activity: Development driving,0.0128205128205128,1.0,13.76470588235294,0.0118891080429541,,3,3,HazardMode:刮;Job:开拓工,Act:开拓
All mined rules,HazardMode: Scraping; Team: Development team,Activity: Development driving,0.0128205128205128,1.0,13.76470588235294,0.0118891080429541,,3,3,HazardMode:刮;Team:开拓队,Act:开拓
All mined rules,HazardMode: Scraping; Job: Development worker; Team: Development team,Activity: Development driving,0.0128205128205128,1.0,13.76470588235294,0.0118891080429541,,3,3,HazardMode:刮;Job:开拓工;Team:开拓队,Act:开拓
All mined rules,Body: Foot; HazardMode: Struck by object; Location: Development face,Activity: Development driving,0.0128205128205128,1.0,13.76470588235294,0.0118891080429541,,3,3,Body:脚;HazardMode:砸;Loc:开拓迎头,Act:开拓
All mined rules,Body: Foot; HazardMode: Struck by object; Job: Development worker; Location: Development face,Activity: Development driving,0.0128205128205128,1.0,13.76470588235294,0.0118891080429541,,3,3,Body:脚;HazardMode:砸;Job:开拓工;Loc:开拓迎头,Act:开拓
All mined rules,Body: Foot; HazardMode: Struck by object; Location: Development face; Team: Development team,Activity: Development driving,0.0128205128205128,1.0,13.76470588235294,0.0118891080429541,,3,3,Body:脚;HazardMode:砸;Loc:开拓迎头;Team:开拓队,Act:开拓
All mined rules,Body: Foot; HazardMode: Struck by object; Job: Development worker; Location: Development face; Team: Development team,Activity: Development driving,0.0128205128205128,1.0,13.76470588235294,0.0118891080429541,,3,3,Body:脚;HazardMode:砸;Job:开拓工;Loc:开拓迎头;Team:开拓队,Act:开拓
All mined rules,Location: Development face; Shift: Middle shift,Activity: Development driving,0.0128205128205128,1.0,13.76470588235294,0.0118891080429541,,3,3,Loc:开拓迎头;Shift:中班,Act:开拓
All mined rules,Location: Development face; Shift: Middle shift; Team: Development team,Activity: Development driving,0.0128205128205128,1.0,13.76470588235294,0.0118891080429541,,3,3,Loc:开拓迎头;Shift:中班;Team:开拓队,Act:开拓
All mined rules,Activity: Development driving,Location: Development face,0.0384615384615384,0.5294117647058824,13.76470588235294,0.0356673241288625,2.043269230769231,17,9,Act:开拓,Loc:开拓迎头
All mined rules,Activity: Development driving; Team: Development team,Location: Development face,0.0384615384615384,0.5294117647058824,13.76470588235294,0.0356673241288625,2.043269230769231,17,9,Act:开拓;Team:开拓队,Loc:开拓迎头
All mined rules,Job: Mechanical and electrical worker; Location: Auxiliary shaft,Team: Mechanical and electrical team,0.0128205128205128,0.7499999999999999,13.499999999999998,0.0118708452041785,3.777777777777776,4,3,Job:机电工;Loc:副井,Team:机电队
All mined rules,Body: Multiple bones,Severe,0.0384615384615384,1.0,13.0,0.0355029585798816,,9,9,Body:多处骨头,Sev:重伤
All mined rules,Body: Multiple bones; InjuryForm: Fracture,Severe,0.0341880341880341,1.0,13.0,0.0315581854043392,,8,8,Body:多处骨头;InjuryForm:骨折,Sev:重伤
All mined rules,Body: Multiple bones; Location: Heading face,Severe,0.017094017094017,1.0,13.0,0.0157790927021696,,4,4,Body:多处骨头;Loc:掘进头,Sev:重伤
All mined rules,Body: Multiple bones; Shift: Day shift,Severe,0.017094017094017,1.0,13.0,0.0157790927021696,,4,4,Body:多处骨头;Shift:早班,Sev:重伤
All mined rules,Body: Multiple bones; InjuryForm: Fracture; Shift: Day shift,Severe,0.017094017094017,1.0,13.0,0.0157790927021696,,4,4,Body:多处骨头;InjuryForm:骨折;Shift:早班,Sev:重伤
All mined rules,InjuryForm: Internal organ rupture,Severe,0.017094017094017,1.0,13.0,0.0157790927021696,,4,4,InjuryForm:内脏破裂,Sev:重伤
All mined rules,Body: Multiple bones; InjuryForm: Fracture; Location: Heading face,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Body:多处骨头;InjuryForm:骨折;Loc:掘进头,Sev:重伤
All mined rules,Body: Multiple bones; Shift: Night shift,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Body:多处骨头;Shift:夜班,Sev:重伤
All mined rules,Body: Multiple bones; Job: Coal miner,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Body:多处骨头;Job:采煤工,Sev:重伤
All mined rules,Body: Multiple bones; InjuryForm: Fracture; Job: Coal miner,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Body:多处骨头;InjuryForm:骨折;Job:采煤工,Sev:重伤
All mined rules,Body: Multiple bones; Team: Coal mining team,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Body:多处骨头;Team:采煤队,Sev:重伤
All mined rules,Body: Multiple bones; Job: Coal miner; Team: Coal mining team,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Body:多处骨头;Job:采煤工;Team:采煤队,Sev:重伤
All mined rules,Body: Multiple bones; InjuryForm: Fracture; Team: Coal mining team,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Body:多处骨头;InjuryForm:骨折;Team:采煤队,Sev:重伤
All mined rules,Body: Multiple bones; InjuryForm: Fracture; Job: Coal miner; Team: Coal mining team,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Body:多处骨头;InjuryForm:骨折;Job:采煤工;Team:采煤队,Sev:重伤
All mined rules,Activity: Tunneling; Body: Multiple bones,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Act:掘进;Body:多处骨头,Sev:重伤
All mined rules,Activity: Tunneling; Body: Multiple bones; Location: Heading face,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Act:掘进;Body:多处骨头;Loc:掘进头,Sev:重伤
All mined rules,Body: Multiple bones; Team: Tunneling team,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Body:多处骨头;Team:掘进队,Sev:重伤
All mined rules,Activity: Tunneling; Body: Multiple bones; Team: Tunneling team,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Act:掘进;Body:多处骨头;Team:掘进队,Sev:重伤
All mined rules,Body: Multiple bones; Location: Heading face; Team: Tunneling team,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Body:多处骨头;Loc:掘进头;Team:掘进队,Sev:重伤
All mined rules,Activity: Tunneling; Body: Multiple bones; Location: Heading face; Team: Tunneling team,Severe,0.0128205128205128,1.0,13.0,0.0118343195266272,,3,3,Act:掘进;Body:多处骨头;Loc:掘进头;Team:掘进队,Sev:重伤
All mined rules,Activity: Development driving; Job: Development worker,Location: Development face,0.0341880341880341,0.5,13.0,0.0315581854043392,1.9230769230769231,16,8,Act:开拓;Job:开拓工,Loc:开拓迎头
All mined rules,Activity: Development driving; Job: Development worker; Team: Development team,Location: Development face,0.0341880341880341,0.5,13.0,0.0315581854043392,1.9230769230769231,16,8,Act:开拓;Job:开拓工;Team:开拓队,Loc:开拓迎头
All mined rules,HazardMode: Struck by object; Job: Development worker,Location: Development face,0.017094017094017,0.5,13.0,0.0157790927021696,1.9230769230769231,8,4,HazardMode:砸;Job:开拓工,Loc:开拓迎头
All mined rules,HazardMode: Struck by object; Job: Development worker; Team: Development team,Location: Development face,0.017094017094017,0.5,13.0,0.0157790927021696,1.9230769230769231,8,4,HazardMode:砸;Job:开拓工;Team:开拓队,Loc:开拓迎头
All mined rules,Body: Foot; HazardMode: Struck by object; Team: Development team,Location: Development face,0.0128205128205128,0.5,13.0,0.0118343195266272,1.9230769230769231,6,3,Body:脚;HazardMode:砸;Team:开拓队,Loc:开拓迎头
All mined rules,Activity: Development driving; Shift: Middle shift,Location: Development face,0.0128205128205128,0.5,13.0,0.0118343195266272,1.9230769230769231,6,3,Act:开拓;Shift:中班,Loc:开拓迎头
All mined rules,Activity: Development driving; Shift: Middle shift; Team: Development team,Location: Development face,0.0128205128205128,0.5,13.0,0.0118343195266272,1.9230769230769231,6,3,Act:开拓;Shift:中班;Team:开拓队,Loc:开拓迎头
All mined rules,Activity: Installation and recovery; Shift: Day shift; Team: Ventilation team,Job: Ventilation worker,0.0128205128205128,0.6,12.763636363636364,0.0118160566878515,2.382478632478632,5,3,Act:安装回收;Shift:早班;Team:通风队,Job:通风工
All mined rules,Activity: Maintenance; Team: Ventilation team,Job: Ventilation worker,0.0128205128205128,0.6,12.763636363636364,0.0118160566878515,2.382478632478632,5,3,Act:检修;Team:通风队,Job:通风工
All mined rules,Activity: Maintenance; Shift: Day shift; Team: Ventilation team,Job: Ventilation worker,0.0128205128205128,0.6,12.763636363636364,0.0118160566878515,2.382478632478632,5,3,Act:检修;Shift:早班;Team:通风队,Job:通风工
All mined rules,Activity: Tunneling; HazardMode: Collision; Team: Tunneling team,Body: Eye,0.0128205128205128,0.7499999999999999,12.535714285714285,0.0117977938490759,3.760683760683759,4,3,Act:掘进;HazardMode:碰;Team:掘进队,Body:眼
All mined rules,Activity: Tunneling; HazardMode: Collision; Job: Tunneling worker; Team: Tunneling team,Body: Eye,0.0128205128205128,0.7499999999999999,12.535714285714285,0.0117977938490759,3.760683760683759,4,3,Act:掘进;HazardMode:碰;Job:掘进工;Team:掘进队,Body:眼
All mined rules,Job: Repair worker; Shift: Middle shift; Team: Roadway support team,Activity: Roadway repair,0.0213675213675213,0.8333333333333334,12.1875,0.019614288845058,5.589743589743591,6,5,Job:检修工;Shift:中班;Team:修护队,Act:巷修
All mined rules,HazardMode: Struck by object; Job: Repair worker; Team: Roadway support team,Activity: Roadway repair,0.0213675213675213,0.8333333333333334,12.1875,0.019614288845058,5.589743589743591,6,5,HazardMode:砸;Job:检修工;Team:修护队,Act:巷修
All mined rules,Activity: Installation and recovery; Team: Ventilation team,Job: Ventilation worker,0.0213675213675213,0.5555555555555556,11.818181818181818,0.0195595003287311,2.144230769230769,9,5,Act:安装回收;Team:通风队,Job:通风工
All mined rules,HazardMode: Fall/slip; Job: Mechanical and electrical worker,Activity: Walking,0.0128205128205128,1.0,11.7,0.0117247424939732,,3,3,HazardMode:摔;Job:机电工,Act:行走
All mined rules,Job: Work team leader; Location: Track gate road,Activity: Walking,0.0128205128205128,1.0,11.7,0.0117247424939732,,3,3,Job:班长;Loc:轨道顺槽,Act:行走
All mined rules,Body: Foot; Job: Repair worker; Team: Roadway support team,Activity: Roadway repair,0.017094017094017,0.8,11.7,0.0156329899919643,4.658119658119659,5,4,Body:脚;Job:检修工;Team:修护队,Act:巷修
All mined rules,InjuryForm: Fracture; Job: Transport worker,Activity: Transportation,0.0128205128205128,0.7499999999999999,11.7,0.0117247424939732,3.743589743589742,4,3,InjuryForm:骨折;Job:运输工,Act:运输
All mined rules,Job: Mechanical and electrical worker; Team: Ventilation team,Activity: Transportation,0.0128205128205128,0.7499999999999999,11.7,0.0117247424939732,3.743589743589742,4,3,Job:机电工;Team:通风队,Act:运输
All mined rules,HazardMode: Struck by object; Team: Development team,Location: Development face,0.017094017094017,0.4444444444444445,11.555555555555555,0.0156147271531886,1.7307692307692308,9,4,HazardMode:砸;Team:开拓队,Loc:开拓迎头
All mined rules,Job: Development worker; Shift: Day shift; Team: Development team,Location: Development face,0.017094017094017,0.4444444444444445,11.555555555555555,0.0156147271531886,1.7307692307692308,9,4,Job:开拓工;Shift:早班;Team:开拓队,Loc:开拓迎头
All mined rules,Body: Foot; HazardMode: Squeezing,Activity: Cart pushing,0.0128205128205128,0.4285714285714285,11.142857142857142,0.0116699539776462,1.682692307692308,7,3,Body:脚;HazardMode:挤,Act:推车
All mined rules,Body: Leg; Job: Development worker,Activity: Development driving,0.017094017094017,0.8,11.011764705882351,0.015541675798086,4.636752136752138,5,4,Body:腿;Job:开拓工,Act:开拓
All mined rules,Body: Leg; Job: Development worker; Team: Development team,Activity: Development driving,0.017094017094017,0.8,11.011764705882351,0.015541675798086,4.636752136752138,5,4,Body:腿;Job:开拓工;Team:开拓队,Act:开拓
All mined rules,Body: Hand; HazardMode: Squeezing; Team: Roadway support team,Activity: Roadway repair,0.0128205128205128,0.7499999999999999,10.968749999999996,0.0116516911388706,3.726495726495725,4,3,Body:手;HazardMode:挤;Team:修护队,Act:巷修
All mined rules,Body: Foot; Job: Repair worker; Shift: Middle shift,Activity: Roadway repair,0.0128205128205128,0.7499999999999999,10.968749999999996,0.0116516911388706,3.726495726495725,4,3,Body:脚;Job:检修工;Shift:中班,Act:巷修
All mined rules,HazardMode: Struck by object; Job: Repair worker; Shift: Middle shift,Activity: Roadway repair,0.0128205128205128,0.7499999999999999,10.968749999999996,0.0116516911388706,3.726495726495725,4,3,HazardMode:砸;Job:检修工;Shift:中班,Act:巷修
All mined rules,Body: Foot; HazardMode: Struck by object; Team: Roadway support team,Activity: Roadway repair,0.0128205128205128,0.7499999999999999,10.968749999999996,0.0116516911388706,3.726495726495725,4,3,Body:脚;HazardMode:砸;Team:修护队,Act:巷修
All mined rules,Body: Hand; Team: Ventilation team,Location: Auxiliary shaft,0.017094017094017,0.5,10.636363636363637,0.015486887281759,1.9059829059829057,8,4,Body:手;Team:通风队,Loc:副井
All mined rules,Shift: Middle shift; Team: Roadway support team,Activity: Roadway repair,0.0213675213675213,0.7142857142857143,10.446428571428571,0.0193220834246475,3.260683760683761,7,5,Shift:中班;Team:修护队,Act:巷修
All mined rules,HazardMode: Struck by object; Team: Roadway support team,Activity: Roadway repair,0.0213675213675213,0.7142857142857143,10.446428571428571,0.0193220834246475,3.260683760683761,7,5,HazardMode:砸;Team:修护队,Act:巷修
All mined rules,Body: Foot; Team: Roadway support team,Activity: Roadway repair,0.0213675213675213,0.7142857142857143,10.446428571428571,0.0193220834246475,3.260683760683761,7,5,Body:脚;Team:修护队,Act:巷修
All mined rules,Body: Foot; Job: Development worker,Location: Development face,0.017094017094017,0.4,10.4,0.0154503616042077,1.6025641025641026,10,4,Body:脚;Job:开拓工,Loc:开拓迎头
All mined rules,Body: Foot; Job: Development worker; Team: Development team,Location: Development face,0.017094017094017,0.4,10.4,0.0154503616042077,1.6025641025641026,10,4,Body:脚;Job:开拓工;Team:开拓队,Loc:开拓迎头
All mined rules,Job: Development worker; Shift: Day shift,Location: Development face,0.017094017094017,0.4,10.4,0.0154503616042077,1.6025641025641026,10,4,Job:开拓工;Shift:早班,Loc:开拓迎头
All mined rules,HazardMode: Struck by object; Job: Development worker,Activity: Development driving,0.0256410256410256,0.7499999999999999,10.323529411764705,0.0231572795675359,3.709401709401708,8,6,HazardMode:砸;Job:开拓工,Act:开拓
All mined rules,HazardMode: Struck by object; Job: Development worker; Team: Development team,Activity: Development driving,0.0256410256410256,0.7499999999999999,10.323529411764705,0.0231572795675359,3.709401709401708,8,6,HazardMode:砸;Job:开拓工;Team:开拓队,Act:开拓
